Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Завод № 174 им. Ворошилова;0;0;0;0;0,15;0,15;0,4;0,4;0,2;0,2;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0
Завод им. Егорова;0,2;0,35;0,3;0,4;0,35;0,35;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,25;0,25;0,25;0,5;0,4;0,3;0;0,25;0,3
Карбюраторный завод;0,1;0,15;0,1;0,2;0,15;0,25;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,15;0,2;0;0,1;0,1
ЛЭТЗ;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Автоген» № 1;0;0;1;0,5;0,4;0,3;0,3;0,3;0,2;0,2;0,2;0;0;0;0;0;0;0;0,2;0,2;0,25;0,2;0,15;0,15;0;0,1;0,1
Завод ПТО им. Кирова;0,3;0,25;0,2;0,3;0,25;0,25;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,1;0,1;0,7;0,3;0,3;0,1;0,1;0,7;0,7;0,7;0,5;0;0,5;0,4
Завод им. Ленина (Ленневмаш);0,4;0,2;0,3;0,4;0,35;0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,4;0,35;0,35;0,5;0,35;0,35;0,45;0,45;0,5;0,5;0,5;0,6;0;0,4;0,4
Завод им. Котлякова;0;0;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,1;0,15;0;0,12;0,15
Завод «Красный Металлист»;0,1;0,15;0,2;0,3;0,25;0,25;0,2;0,2;0,2;0,2;0,25;0,25;0,1;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0
Завод «Русский Дизель»;0,1;0,25;0,2;0,3;0,25;0,2;0,25;0,3;0,1;0,1;0;0;0;0,05;0,05;0,05;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1
Завод «Экономайзер»;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,25;0,2;0,25;0,25;0,25;0,25;0,3;0,25;0,25;0;0,2;0,2
Дом техники;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0,05;0,05;0,05;0,1;0,1;0,1;0,1;0,1;0,05;0,05;0;0,05;0,1
Завод «Вперед»;0,1;0,3;0,2;0,35;0,15;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,2;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,35;0,3;0,3;0,3;0;0,25;0,3
Завод «Вулкан»;0,1;0,275;0,2;0,35;0,4;0,35;0,4;0,4;0,35;0,35;0,35;0,35;0,25;0,3;0,3;0,25;0,3;0,3;0,35;0,3;0,4;0,4;0,35;0,35;0;0,25;0,3
Завод № 174;0;0,125;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Лесмашпром»;0,2;0,2;0,2;0,5;0,45;0,2;0,5;0,5;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
